Campaign Group Name,Campaign Name,Creative Name,Total Spent,Impressions,Clicks,Average CPC,Average Frequency,Click Through Rate
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Reel, Costa Troppo  || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.09,10,0,0,1.429,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Standard Jan25, 2 || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.08,9,0,0,1.8,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Tea || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,18.06,1108,6,3.01,2.67,0.54%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Standard Jan25, 3 || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.39,30,0,0,1.304,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Reel Certificato, Giulia || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.12,15,0,0,1.5,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Illustrate, Elon || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",8.33,802,5,1.67,1.627,0.62%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Corporate, 1 || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.8,62,0,0,1.59,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Illustrate, Bear || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",4.12,402,3,1.37,1.614,0.75%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Tagliacarte || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,0.75,36,0,0,1.8,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Alicia Certificate || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,1.54,95,0,0,1.61,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,mark || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,17.75,1677,10,1.78,2.372,0.60%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Jeff || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,4.28,408,1,4.28,1.872,0.25%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Standard Jan25, 2 || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.57,9,0,0,0,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Sorri for my english || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,518.54,42210,362,1.43,2.496,0.86%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Reel, Video Ads 7 || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",0.28,18,0,0,1.2,0%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Pesce al forno || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,112.27,6926,116,0.97,2.647,1.68%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Ridere i polli  || Images | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,17.42,1990,14,1.24,1.613,0.70%
Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn,"Reel, Corridoio || Video | Broad | Lead Generation - ITA - LinkedIn || Paid || LinkedIn",1.36,58,2,0.68,1.706,3.45%
