Campaign name,Ad Set Name,Ad name,Currency,Amount spent (EUR),Impressions,Clicks (all),CPC (all),CTR (all),Frequency
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Cricket 2 || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.01,3,0,0,0,1
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,Social Proof || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,0.11,24,0,0,0,1
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,Furious || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,0,12,0,0,0,1
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Kissentrick || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.01,1,0,0,0,1
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Golf tree || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.24,26,0,0,0,1
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Cricket 1 || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.01,1,0,0,0,1
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Suitcase || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.56,37,1,0.56,2.7027027,1
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Paper cutter || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,1.51,49,0,0,0,1.02083333
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,IELTS certificate || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.68,106,0,0,0,1.02912621
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,OMG || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.87,122,1,0.87,0.81967213,1.03389831
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,Suitcase || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,0.23,26,0,0,0,1.04
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Frustration || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.28,18,0,0,0,1.05882353
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Fish || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,1.36,121,2,0.68,1.65289256,1.07079646
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Matcha || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.56,45,0,0,0,1.07142857
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,How I learned || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,2.55,132,6,0.425,4.54545455,1.07317073
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Hilf mir || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,3.13,324,0,0,0,1.07641196
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Corporate, 2 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,0.69,82,0,0,0,1.07894737
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Cocktail || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.44,27,0,0,0,1.08
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Meme || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.53,27,0,0,0,1.08
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Frustration || Broad 1 || Lead generation | GER || Paid | Meta,EUR,2.3,324,2,1.15,0.61728395,1.08361204
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,OMG || Broad 1 || Lead generation | GER || Paid | Meta,EUR,1.25,195,0,0,0,1.08938547
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,Paper cutter final || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,1432,315854,3896,0.36755647,1.23348129,1.09162482
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,"Reel, UGC 2 || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,0.98,46,0,0,0,1.0952381
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Meme || Broad 1 || Lead generation | GER || Paid | Meta,EUR,1.71,90,1,1.71,1.11111111,1.09756098
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,OMG || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,0.16,55,0,0,0,1.1
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,OMG || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.77,33,0,0,0,1.1
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,IELTS || Broad 1 || Lead generation | ESP || Paid | Meta,EUR,28.66,6246,39,0.73487179,0.62439962,1.10042283
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Viel zu viel || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.62,53,0,0,0,1.10416667
REMARKETING - Landing - Contact || Paid || Meta,FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta - Copia,"Reviews, 1 || FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta - Copia",EUR,1.61,194,1,1.61,0.51546392,1.10857143
REMARKETING - Landing - Contact || Paid || Meta,FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta - Copia,"Reel, Studio || FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,1.45,273,1,1.45,0.36630037,1.11885246
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Scioglilingua || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.79,28,3,0.26333333,10.71428571,1.12
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Bottle toss || Broad 1 || Lead generation | GER || Paid | Meta,EUR,0.36,37,0,0,0,1.12121212
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,"Reel, UGC 3 || Broad 1 || Lead generation | ESP || Paid | Meta",EUR,23.59,2432,26,0.90730769,1.06907895,1.12853828
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Social Proof || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.82,35,0,0,0,1.12903226
REMARKETING - Landing - Contact || Paid || Meta,FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta - Copia,"Reel, Standard 1 - Istant Form || FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,1.94,356,6,0.32333333,1.68539326,1.13015873
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,How I learned || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,4.24,347,2,2.12,0.57636888,1.14521452
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Paper cutter || Broad 1 || Lead generation | GER || Paid | Meta,EUR,463.83,42517,570,0.81373684,1.34064021,1.14542418
REMARKETING - Landing - Contact || Paid || Meta,FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta - Copia,"Reel, Finestra || FORM - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,10.44,1495,16,0.6525,1.07023411,1.14559387
Lead generation | GER || Paid | Meta,Broad 1 || Lead generation | GER || Paid | Meta,Tee || Broad 1 || Lead generation | GER || Paid | Meta,EUR,516.68,53368,420,1.23019048,0.78698846,1.15012284
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Viel zu viel || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,0.98,121,0,0,0,1.15238095
